vcc 0 0 0 vcc_model vcc_type global_master
vss 1 0 0 vss_model vss_type global_master
sg000[0]/mqn0 2 200 2040 nsvt n ec0sg00ndal1d06x5
sg000[0]/mqn1 3 200 2040 nsvt n ec0sg00ndal1d06x5
sg000[0]/mqn2 4 200 680 nsvt n ec0sg00ndal1d06x5
sg000[0]/mqn3 5 200 2040 nsvt n ec0sg00ndal1d06x5
sg000[0]/mqn4 6 200 680 nsvt n ec0sg00ndal1d06x5
sg000[0]/mqn5 7 200 2040 nsvt n ec0sg00ndal1d06x5
sg000[0]/mqn6 8 200 680 nsvt n ec0sg00ndal1d06x5
sg000[0]/mqn7 9 200 680 nsvt n ec0sg00ndal1d06x5
sg000[0]/mqp0 10 200 2040 psvt p ec0sg00ndal1d06x5
sg000[0]/mqp1 11 200 1020 psvt p ec0sg00ndal1d06x5
sg000[0]/mqp2 12 200 1020 psvt p ec0sg00ndal1d06x5
sg000[0]/mqp3 13 200 1020 psvt p ec0sg00ndal1d06x5
sg000[0]/mqp4 14 200 1020 psvt p ec0sg00ndal1d06x5
sg000[0]/mqp5 15 200 2040 psvt p ec0sg00ndal1d06x5
sg000[1]/mqn0 16 200 2040 nsvt n ec0sg00ndal1d06x5
sg000[1]/mqn1 17 200 2040 nsvt n ec0sg00ndal1d06x5
sg000[1]/mqn2 18 200 680 nsvt n ec0sg00ndal1d06x5
sg000[1]/mqn3 19 200 2040 nsvt n ec0sg00ndal1d06x5
sg000[1]/mqn4 20 200 680 nsvt n ec0sg00ndal1d06x5
sg000[1]/mqn5 21 200 2040 nsvt n ec0sg00ndal1d06x5
sg000[1]/mqn6 22 200 680 nsvt n ec0sg00ndal1d06x5
sg000[1]/mqn7 23 200 680 nsvt n ec0sg00ndal1d06x5
sg000[1]/mqp0 24 200 2040 psvt p ec0sg00ndal1d06x5
sg000[1]/mqp1 25 200 1020 psvt p ec0sg00ndal1d06x5
sg000[1]/mqp2 26 200 1020 psvt p ec0sg00ndal1d06x5
sg000[1]/mqp3 27 200 1020 psvt p ec0sg00ndal1d06x5
sg000[1]/mqp4 28 200 1020 psvt p ec0sg00ndal1d06x5
sg000[1]/mqp5 29 200 2040 psvt p ec0sg00ndal1d06x5
adc/ec0udpd00an2n00x5_1x/mqn0 30 200 340 n n ec0udpd00an1n00x5
adc/adc/inv00/mqn1 31 200 1360 nsvt n ec0inv000al1n04x5
adc/adc/inv00/mqp1 32 200 1360 psvt p ec0inv000al1n04x5
adc/adc/inv01/mqn1 33 200 1360 nsvt n ec0inv000al1n04x5
adc/adc/inv01/mqp1 34 200 1360 psvt p ec0inv000al1n04x5
adc/adc/inv02/mqn1 35 200 1360 nsvt n ec0inv000al1n04x5
adc/adc/inv02/mqp1 36 200 1360 psvt p ec0inv000al1n04x5
adc/adc/inv04/mqn1 37 200 680 nsvt n ec0inv000al1n02x5
adc/adc/inv04/mqp1 38 200 680 psvt p ec0inv000al1n02x5
adc/adc/inv05/mqn1 39 200 680 nsvt n ec0inv000al1n02x5
adc/adc/inv05/mqp1 40 200 680 psvt p ec0inv000al1n02x5
