vcc 0 0 0 vcc_model vcc_type global_master
vss 1 0 0 vss_model vss_type global_master
qpb2dg4[1]/mqn2 2 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb2dg4[1]/mqp0 3 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb2dg4[1]/mqp1 4 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb2dg4[1]/mqp2 5 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpobcb1dum/mqp1 6 200 1360 pavt p e8xlth4hdtn1200pa1unx
qnbcb0[1]/mqn0 7 200 2040 navt n e8xltp620tn2000na1unx
qnbcb0[1]/mqn1 8 200 2040 navt n e8xltp620tn2000na1unx
qnb1[0]/mqn0 9 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb1[0]/mqn2 10 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb1[0]/mqn3 11 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb1[0]/mqn4 12 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qpb2dg4[2]/mqn2 13 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb2dg4[2]/mqp0 14 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb2dg4[2]/mqp1 15 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb2dg4[2]/mqp2 16 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qnb1[1]/mqn0 17 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb1[1]/mqn2 18 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb1[1]/mqn3 19 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb1[1]/mqn4 20 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qpcben0/mqp2 21 200 1360 pavt p e8xltp420tn2000pa1unx
qpcben0/mqp3 22 200 1360 pavt p e8xltp420tn2000pa1unx
qpcben1/mqp2 23 200 1360 pavt p e8xltp420tn2000pa1unx
qpcben1/mqp3 24 200 1360 pavt p e8xltp420tn2000pa1unx
qnb2dg4[0]/mqn0 25 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg4[0]/mqn2 26 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg4[0]/mqn3 27 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg4[0]/mqn4 28 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qpb2dg4[3]/mqn2 29 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb2dg4[3]/mqp0 30 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb2dg4[3]/mqp1 31 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb2dg4[3]/mqp2 32 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qnxc/mqn0 33 200 2040 navt n e8xltp620tn2000na1unx
qnxc/mqn1 34 200 2040 navt n e8xltp620tn2000na1unx
qnbcben0/mqn0 35 200 1360 navt n e8xltp420tn2000na1unx
qnbcben0/mqn1 36 200 1360 navt n e8xltp420tn2000na1unx
qnb1[2]/mqn0 37 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb1[2]/mqn2 38 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb1[2]/mqn3 39 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb1[2]/mqn4 40 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnbcben1/mqn0 41 200 1360 navt n e8xltp420tn2000na1unx
qnbcben1/mqn1 42 200 1360 navt n e8xltp420tn2000na1unx
qpocb0dum/mqp1 43 200 1360 pavt p e8xlth4hdtn1200pa1unx
qnb2dg4[1]/mqn0 44 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg4[1]/mqn2 45 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg4[1]/mqn3 46 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg4[1]/mqn4 47 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnobcb1dum/mqn1 48 200 1360 navt n e8xlth4hdnn1200na1unx
qpxcb/mqp2 49 200 2040 pavt p e8xltp620tn2000pa1unx
qpxcb/mqp3 50 200 2040 pavt p e8xltp620tn2000pa1unx
qnb1[3]/mqn0 51 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb1[3]/mqn2 52 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb1[3]/mqn3 53 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb1[3]/mqn4 54 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg4[2]/mqn0 55 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg4[2]/mqn2 56 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg4[2]/mqn3 57 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg4[2]/mqn4 58 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg4[3]/mqn0 59 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg4[3]/mqn2 60 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg4[3]/mqn3 61 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg4[3]/mqn4 62 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnocb1dum/mqn1 63 200 1360 navt n e8xlth4hdnn1200na1unx
qnin[0]/mqn0 64 200 2040 navt n e8xltp620tn2000na1unx
qnin[0]/mqn1 65 200 2040 navt n e8xltp620tn2000na1unx
qnin[1]/mqn0 66 200 2040 navt n e8xltp620tn2000na1unx
qnin[1]/mqn1 67 200 2040 navt n e8xltp620tn2000na1unx
qpbcb1[0]/mqp2 68 200 2040 pavt p e8xltp620tn2000pa1unx
qpbcb1[0]/mqp3 69 200 2040 pavt p e8xltp620tn2000pa1unx
qnin[2]/mqn0 70 200 2040 navt n e8xltp620tn2000na1unx
qnin[2]/mqn1 71 200 2040 navt n e8xltp620tn2000na1unx
qpbcb1[1]/mqp2 72 200 2040 pavt p e8xltp620tn2000pa1unx
qpbcb1[1]/mqp3 73 200 2040 pavt p e8xltp620tn2000pa1unx
qnin[3]/mqn0 74 200 2040 navt n e8xltp620tn2000na1unx
qnin[3]/mqn1 75 200 2040 navt n e8xltp620tn2000na1unx
qpinb[0]/mqp2 76 200 2040 pavt p e8xltp620tn2000pa1unx
qpinb[0]/mqp3 77 200 2040 pavt p e8xltp620tn2000pa1unx
qpb2dg6[0]/mqn2 78 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb2dg6[0]/mqp0 79 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb2dg6[0]/mqp1 80 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb2dg6[0]/mqp2 81 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpinb[1]/mqp2 82 200 2040 pavt p e8xltp620tn2000pa1unx
qpinb[1]/mqp3 83 200 2040 pavt p e8xltp620tn2000pa1unx
qpb2dg6[1]/mqn2 84 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb2dg6[1]/mqp0 85 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb2dg6[1]/mqp1 86 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpb2dg6[1]/mqp2 87 200 2040 pavt p ip74xddrtgldll_e8xltc622tn2000pa1unx_2x
qpobcb01dum/mqp0 88 200 1360 pavt p e8xlth4hhtn1200pa1unx
qpobcb01dum/mqp1 89 200 1360 pavt p e8xlth4hhtn1200pa1unx
qnb3[0]/mqn2 90 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[0]/mqn3 91 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[0]/mqn4 92 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[0]/mqn5 93 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qpxc/mqp2 94 200 2040 pavt p e8xltp620tn2000pa1unx
qpxc/mqp3 95 200 2040 pavt p e8xltp620tn2000pa1unx
qpinb[2]/mqp2 96 200 2040 pavt p e8xltp620tn2000pa1unx
qpinb[2]/mqp3 97 200 2040 pavt p e8xltp620tn2000pa1unx
qnb3[1]/mqn2 98 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[1]/mqn3 99 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[1]/mqn4 100 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[1]/mqn5 101 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnstat[0]/mqn0 102 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnstat[0]/mqn2 103 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnstat[0]/mqn3 104 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnstat[0]/mqn4 105 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg6[0]/mqn2 106 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb2dg6[0]/mqn3 107 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb2dg6[0]/mqn4 108 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb2dg6[0]/mqn5 109 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qpinb[3]/mqp2 110 200 2040 pavt p e8xltp620tn2000pa1unx
qpinb[3]/mqp3 111 200 2040 pavt p e8xltp620tn2000pa1unx
qninb[0]/mqn0 112 200 2040 navt n e8xltp620tn2000na1unx
qninb[0]/mqn1 113 200 2040 navt n e8xltp620tn2000na1unx
qpobcb0dum/mqp1 114 200 1360 pavt p e8xlth4hdtn1200pa1unx
qnb3[2]/mqn2 115 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[2]/mqn3 116 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[2]/mqn4 117 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[2]/mqn5 118 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb0[0]/mqn0 119 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb0[0]/mqn2 120 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb0[0]/mqn3 121 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb0[0]/mqn4 122 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnstat[1]/mqn0 123 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnstat[1]/mqn2 124 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnstat[1]/mqn3 125 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnstat[1]/mqn4 126 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb2dg6[1]/mqn2 127 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb2dg6[1]/mqn3 128 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb2dg6[1]/mqn4 129 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb2dg6[1]/mqn5 130 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qninb[1]/mqn0 131 200 2040 navt n e8xltp620tn2000na1unx
qninb[1]/mqn1 132 200 2040 navt n e8xltp620tn2000na1unx
qnb3[3]/mqn2 133 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[3]/mqn3 134 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[3]/mqn4 135 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[3]/mqn5 136 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb0[1]/mqn0 137 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb0[1]/mqn2 138 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb0[1]/mqn3 139 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb0[1]/mqn4 140 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qpb1[0]/mqn2 141 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[0]/mqp0 142 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[0]/mqp1 143 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[0]/mqp2 144 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qninb[2]/mqn0 145 200 2040 navt n e8xltp620tn2000na1unx
qninb[2]/mqn1 146 200 2040 navt n e8xltp620tn2000na1unx
